coarse_label,prediction
DESC,DESC
DESC,DESC
NUM,NUM
HUM,LOC
NUM,NUM
DESC,DESC
NUM,NUM
LOC,LOC
DESC,DESC
NUM,NUM
DESC,DESC
DESC,DESC
DESC,DESC
ENTY,ENTY
DESC,DESC
ABBR,DESC
HUM,HUM
HUM,HUM
DESC,DESC
LOC,LOC
DESC,DESC
LOC,LOC
NUM,NUM
ENTY,ENTY
ENTY,ENTY
NUM,NUM
DESC,DESC
DESC,DESC
DESC,DESC
NUM,NUM
DESC,DESC
NUM,NUM
NUM,NUM
DESC,DESC
DESC,DESC
HUM,HUM
HUM,HUM
DESC,DESC
NUM,NUM
DESC,DESC
ENTY,LOC
ENTY,ENTY
DESC,DESC
ENTY,ENTY
LOC,LOC
DESC,DESC
LOC,LOC
ENTY,NUM
NUM,NUM
LOC,LOC
DESC,DESC
DESC,DESC
HUM,ENTY
DESC,DESC
ENTY,ENTY
DESC,DESC
DESC,DESC
HUM,HUM
DESC,DESC
DESC,DESC
DESC,DESC
HUM,HUM
DESC,DESC
ENTY,ENTY
DESC,DESC
NUM,NUM
NUM,NUM
DESC,DESC
ENTY,ENTY
NUM,NUM
DESC,DESC
LOC,LOC
DESC,DESC
LOC,LOC
LOC,LOC
DESC,DESC
NUM,NUM
ABBR,ABBR
LOC,LOC
HUM,HUM
NUM,NUM
DESC,DESC
ENTY,LOC
ENTY,ENTY
DESC,DESC
ENTY,ENTY
ENTY,ENTY
NUM,NUM
LOC,LOC
DESC,DESC
NUM,NUM
ENTY,ENTY
DESC,DESC
DESC,DESC
DESC,DESC
HUM,HUM
NUM,NUM
NUM,NUM
NUM,NUM
NUM,NUM
DESC,DESC
LOC,LOC
ENTY,NUM
ENTY,ENTY
NUM,NUM
LOC,LOC
NUM,NUM
HUM,HUM
LOC,LOC
DESC,DESC
NUM,NUM
DESC,DESC
DESC,DESC
LOC,LOC
NUM,NUM
DESC,DESC
HUM,HUM
ENTY,ENTY
HUM,HUM
DESC,DESC
DESC,DESC
NUM,NUM
ENTY,ENTY
DESC,DESC
ENTY,ENTY
DESC,DESC
NUM,NUM
LOC,LOC
DESC,DESC
DESC,DESC
ENTY,ENTY
NUM,NUM
NUM,NUM
LOC,LOC
LOC,LOC
ENTY,ENTY
HUM,HUM
ENTY,ENTY
ENTY,ENTY
ENTY,ENTY
LOC,LOC
ENTY,ENTY
DESC,DESC
HUM,HUM
LOC,LOC
LOC,LOC
NUM,NUM
ENTY,ENTY
ENTY,ENTY
HUM,NUM
LOC,LOC
ENTY,ENTY
DESC,DESC
HUM,LOC
LOC,LOC
NUM,NUM
LOC,LOC
NUM,NUM
LOC,LOC
HUM,HUM
ENTY,ENTY
DESC,DESC
NUM,NUM
ENTY,ENTY
DESC,DESC
ENTY,ENTY
DESC,DESC
DESC,DESC
LOC,LOC
DESC,DESC
NUM,NUM
DESC,DESC
NUM,NUM
HUM,HUM
LOC,LOC
LOC,LOC
HUM,HUM
LOC,ENTY
HUM,HUM
DESC,DESC
DESC,DESC
ABBR,DESC
LOC,LOC
ENTY,ENTY
NUM,NUM
NUM,NUM
ENTY,ENTY
ABBR,DESC
NUM,NUM
HUM,HUM
ENTY,ENTY
DESC,DESC
LOC,LOC
NUM,NUM
LOC,LOC
DESC,DESC
LOC,LOC
HUM,HUM
LOC,LOC
DESC,DESC
DESC,DESC
LOC,LOC
HUM,HUM
HUM,ENTY
NUM,NUM
NUM,NUM
ENTY,ENTY
LOC,LOC
DESC,DESC
NUM,NUM
ENTY,ENTY
HUM,HUM
ENTY,DESC
DESC,DESC
ENTY,ENTY
DESC,DESC
LOC,LOC
NUM,NUM
ENTY,ENTY
HUM,HUM
NUM,NUM
ABBR,DESC
DESC,DESC
NUM,NUM
HUM,HUM
ENTY,ENTY
ABBR,DESC
LOC,ENTY
DESC,DESC
NUM,NUM
ENTY,ENTY
HUM,HUM
NUM,NUM
ENTY,ENTY
DESC,DESC
HUM,HUM
HUM,HUM
ENTY,ENTY
LOC,LOC
DESC,DESC
DESC,DESC
NUM,NUM
DESC,DESC
LOC,LOC
ENTY,ENTY
DESC,DESC
DESC,DESC
LOC,LOC
DESC,DESC
NUM,NUM
ENTY,ENTY
LOC,LOC
ENTY,ENTY
NUM,NUM
NUM,NUM
NUM,NUM
NUM,NUM
ENTY,ENTY
DESC,DESC
DESC,DESC
ENTY,ENTY
LOC,LOC
DESC,DESC
DESC,DESC
DESC,DESC
LOC,LOC
ENTY,ENTY
LOC,LOC
DESC,DESC
HUM,HUM
ENTY,ENTY
ENTY,ENTY
HUM,HUM
ENTY,DESC
LOC,LOC
NUM,NUM
NUM,NUM
ENTY,ENTY
DESC,DESC
ENTY,ENTY
NUM,NUM
NUM,NUM
LOC,LOC
NUM,NUM
ABBR,DESC
DESC,DESC
LOC,LOC
ENTY,ENTY
DESC,DESC
NUM,NUM
HUM,HUM
NUM,NUM
LOC,LOC
ENTY,ENTY
LOC,LOC
ENTY,ENTY
NUM,NUM
ENTY,ENTY
ENTY,ENTY
ENTY,ENTY
DESC,DESC
DESC,DESC
HUM,HUM
DESC,DESC
DESC,DESC
NUM,NUM
NUM,NUM
NUM,NUM
HUM,HUM
ENTY,DESC
ENTY,ENTY
DESC,DESC
ENTY,ENTY
HUM,HUM
ENTY,ENTY
NUM,NUM
DESC,DESC
NUM,NUM
NUM,NUM
LOC,LOC
NUM,NUM
LOC,LOC
LOC,LOC
NUM,NUM
HUM,HUM
ENTY,ENTY
NUM,NUM
ENTY,ENTY
HUM,ENTY
DESC,DESC
LOC,LOC
NUM,NUM
DESC,DESC
NUM,NUM
LOC,LOC
ENTY,ENTY
HUM,HUM
DESC,DESC
ABBR,ABBR
ENTY,HUM
DESC,DESC
LOC,LOC
NUM,NUM
ENTY,ENTY
ENTY,ENTY
DESC,DESC
NUM,NUM
ENTY,ENTY
ENTY,ENTY
HUM,HUM
ENTY,ENTY
DESC,DESC
NUM,NUM
NUM,NUM
DESC,DESC
NUM,NUM
DESC,DESC
HUM,HUM
HUM,HUM
DESC,DESC
DESC,DESC
ENTY,ENTY
LOC,LOC
NUM,NUM
NUM,NUM
LOC,LOC
HUM,HUM
LOC,LOC
DESC,DESC
NUM,NUM
LOC,LOC
ENTY,ENTY
LOC,LOC
NUM,NUM
LOC,LOC
NUM,NUM
LOC,LOC
DESC,DESC
HUM,HUM
HUM,HUM
DESC,DESC
ENTY,ENTY
NUM,NUM
DESC,DESC
DESC,DESC
DESC,DESC
NUM,NUM
LOC,LOC
ENTY,ENTY
DESC,DESC
DESC,DESC
HUM,HUM
HUM,HUM
NUM,NUM
NUM,NUM
NUM,NUM
DESC,DESC
ENTY,DESC
ABBR,DESC
DESC,DESC
ENTY,ENTY
LOC,LOC
DESC,DESC
NUM,NUM
NUM,NUM
HUM,HUM
LOC,LOC
ENTY,ENTY
LOC,LOC
NUM,NUM
NUM,NUM
DESC,DESC
ENTY,ENTY
HUM,LOC
NUM,NUM
ENTY,ENTY
HUM,HUM
DESC,DESC
NUM,NUM
LOC,LOC
NUM,NUM
NUM,NUM
NUM,NUM
ENTY,ENTY
DESC,DESC
LOC,LOC
HUM,HUM
DESC,DESC
HUM,HUM
ENTY,ENTY
DESC,DESC
HUM,HUM
DESC,DESC
HUM,HUM
NUM,NUM
LOC,LOC
DESC,DESC
LOC,LOC
DESC,DESC
DESC,DESC
ENTY,NUM
LOC,LOC
HUM,HUM
LOC,LOC
NUM,NUM
DESC,DESC
NUM,NUM
ENTY,ENTY
ENTY,ENTY
DESC,DESC
NUM,NUM
NUM,NUM
ENTY,ENTY
HUM,HUM
HUM,HUM
DESC,DESC
NUM,NUM
DESC,DESC
HUM,HUM
LOC,LOC
LOC,LOC
NUM,NUM
DESC,DESC
DESC,DESC
DESC,DESC
NUM,NUM
LOC,LOC
HUM,ENTY
LOC,LOC
LOC,LOC
LOC,LOC
NUM,NUM
NUM,NUM
DESC,DESC
DESC,DESC
DESC,DESC
HUM,HUM
NUM,NUM
NUM,NUM
HUM,HUM
ENTY,ENTY
DESC,DESC
NUM,NUM
NUM,NUM
HUM,HUM
LOC,LOC
DESC,DESC
LOC,LOC
DESC,DESC
ENTY,ENTY
ENTY,ENTY
DESC,DESC
HUM,HUM
HUM,HUM
DESC,DESC
DESC,DESC
ENTY,ENTY
ENTY,ENTY
NUM,NUM
NUM,NUM
